29,27,29,27,27,29,27,29,60,0
18,16,0,0,0,0,4,1,29,1
6,2,11,3,0,0,31,18,32,2
5,8,6,7,3,3,32,40,32,3
2,0,0,3,9,14,0,0,32,4
2,0,0,27,0,0,6,30,30,5
9,10,18,27,8,10,0,17,47,6
4,1,0,1,1,0,20,3,29,7
19,13,21,18,13,19,15,23,56,8
10,11,0,21,14,19,21,39,46,9
26,29,33,22,29,26,22,33,54,0
0,0,0,0,0,0,0,0,38,1
8,6,9,0,0,0,23,17,32,2
6,6,0,0,0,0,34,46,32,3
0,0,0,6,20,28,0,4,29,4
3,1,0,18,0,0,0,24,36,5
7,1,12,19,0,7,0,7,42,6
0,0,0,0,0,0,18,17,28,7
14,15,10,25,15,14,24,6,46,8
2,7,0,11,6,7,18,37,42,9
19,16,19,14,16,19,14,19,57,0
21,20,23,17,16,25,17,23,58,0
21,17,20,19,13,25,19,20,61,0
25,29,33,20,25,28,20,33,62,0
23,27,26,24,27,23,24,26,61,0
19,12,0,0,0,0,2,0,29,1
20,9,0,1,1,0,3,5,30,1
20,9,0,0,0,0,5,4,25,1
0,0,6,19,0,0,0,8,47,1
0,0,0,0,0,0,0,3,45,1
9,5,16,2,0,0,24,12,40,2
9,13,12,0,0,0,25,20,39,2
7,0,9,1,0,0,26,10,32,2
8,0,10,0,0,0,23,14,38,2
8,7,8,0,0,0,18,14,43,2
3,5,1,0,0,0,24,29,42,3
0,3,2,1,1,8,26,23,32,3
3,3,0,3,0,0,31,43,36,3
5,6,0,3,6,4,34,42,35,3
0,2,2,4,2,3,32,36,38,3
0,0,0,6,14,20,1,0,30,4
0,0,0,4,6,14,1,0,24,4
0,0,0,7,11,16,0,3,29,4
3,0,0,0,12,14,0,0,23,4
0,0,0,6,3,10,0,2,28,4
0,2,0,40,0,3,0,20,39,5
1,3,1,33,0,0,0,22,34,5
1,0,6,33,0,0,6,25,33,5
1,2,0,36,1,2,0,46,30,5
0,0,1,39,0,3,0,21,31,5
1,6,8,32,3,4,0,7,43,6
6,4,10,24,4,6,0,10,45,6
8,0,12,11,0,8,0,9,38,6
5,7,11,27,7,5,0,11,47,6
4,7,11,27,7,4,0,11,49,6
0,0,0,3,0,0,7,6,31,7
0,7,0,2,0,0,11,4,34,7
2,1,0,0,0,0,20,18,33,7
0,0,0,0,2,4,12,13,33,7
1,3,0,2,0,0,20,15,35,7
13,7,16,25,7,13,11,18,48,8
9,7,10,16,4,12,10,12,51,8
2,6,9,19,3,6,2,9,52,8
8,10,16,11,7,11,7,17,51,8
11,6,13,20,6,11,13,12,55,8
4,7,0,11,4,10,16,46,38,9
8,6,0,12,7,11,22,38,43,9
6,12,0,19,16,15,31,37,42,9
6,6,0,11,8,11,19,41,43,9
3,5,0,9,3,12,10,29,48,9
